Código,Categoría principal,Subtipos posibles
FD1,Introducción o apertura,"presentar tema, contextualizar, iniciar posición"
FD2,Declaración / tesis / posición,"tesis, motivos, resumen del punto de vista"
FD3,Desarrollo del argumento principal,"justificación, ejemplificación, causa-efecto"
FD4,Refutación o perspectiva opuesta,"crítica, matiz, contraste"
FD5,Conclusión o cierre,"resumen, consecuencia, predicción"
EG1,Frases pasivas,"impersonales, causativas, reportadas"
EG2,Condicionales / Inversiones,"2ª, 3ª, mixta, inversión negativa, inversión condicional"
EG3,Cláusulas relativas,"con cuantificadores, múltiples, avanzadas"
EG4,Frases nominales complejas,"con adjetivos, determinantes, premodificadores"
EG5,Tiempos verbales compuestos,"present perfect, future perfect, past perfect"
CL1,Vocabulario temático,"tema, campo general, razones, ejemplos, actores"
CL2,Conectores,"inicio, adición, contraste, conclusión"
CL3,Collocations / metáforas / phrasal verbs,"expresiones fijas, imágenes, combinaciones típicas"
CL4,Adverbios / modificadores,"frecuencia, grado, evaluación"
CL5,Sustantivos abstractos,"ideas, procesos, valores, consecuencias"
