Nombre grupo,Código,Categoría principal,Subtipos posibles
Función discursiva,FD1,Introducción o apertura,"presentar tema, contextualizar, iniciar posición"
Función discursiva,FD2,Declaración / tesis / posición,"tesis, motivos, resumen del punto de vista"
Función discursiva,FD3,Desarrollo del argumento principal,"justificación, ejemplificación, causa-efecto"
Función discursiva,FD4,Refutación o perspectiva opuesta,"crítica, matiz, contraste"
Función discursiva,FD5,Conclusión o cierre,"resumen, consecuencia, predicción"
Estructura gramatical,EG1,Frases pasivas,"impersonales, causativas, reportadas"
Estructura gramatical,EG2,Condicionales / Inversiones,"2ª, 3ª, mixta, inversión negativa, inversión condicional"
Estructura gramatical,EG3,Cláusulas relativas,"con cuantificadores, múltiples, avanzadas"
Estructura gramatical,EG4,Frases nominales complejas,"con adjetivos, determinantes, premodificadores"
Estructura gramatical,EG5,Tiempos verbales compuestos,"present perfect, future perfect, past perfect"
Categoría lingüística,CL1,Vocabulario temático,"tema, campo general, razones, ejemplos, actores"
Categoría lingüística,CL2,Conectores,"inicio, adición, contraste, conclusión"
Categoría lingüística,CL3,Collocations / metáforas / phrasal verbs,"expresiones fijas, imágenes, combinaciones típicas"
Categoría lingüística,CL4,Adverbios / modificadores,"frecuencia, grado, evaluación"
Categoría lingüística,CL5,Sustantivos abstractos,"ideas, procesos, valores, consecuencias"
